时间,评分,版本,标题,内容
2026-04-26T08:07:50-07:00,1,9.28,卸载小红书了，转去小蜜蜂了,"小红书总是无缘无故的封禁账号，明明啥什么都没有做，账号就突然被封禁了，卸了卸了，这种流氓软件以后不用了，改用网易小蜜蜂了，小蜜蜂加油，省的让小红书上脸
小蜜蜂加油"
2026-04-26T08:01:11-07:00,1,9.28,骗子太多了,真的一星都不想给，骗子骗钱受害者维权还被举报下架了，小红书真是什么人都有
2026-04-26T07:52:50-07:00,1,9.28,封号,垃圾，封的真快，有什么用，自己玩去吧
2026-04-26T07:41:38-07:00,1,9.28,评分全都刷的,妈呀我服了大哥，没消息硬弹消息，半夜睡觉故意弹窗想干嘛
2026-04-26T07:07:33-07:00,1,9.28,宣扬利己主义,未成年用户过多，多半缺乏正确的价值观，利己主义，唯利是图，恶意投诉，敲诈勒索，女权主义、争议话题煽动对立的笔记过多，推送算法过于狭隘，信息壁垒严重。毫无言论自由，恶意举报盛行，平台恶意封号
2026-04-26T06:57:13-07:00,2,9.28,不要随便禁言好不好？,真的是莫名其妙发消息说我被禁言了，然后禁言的时间也不告诉我。那合着就是永远禁言了呗。不是我好好的号，我发什么了呀？有些擦边涉黄或者辱骂的你倒是不禁言专找我禁言是吧？你后台被黑了吗？
2026-04-26T06:32:07-07:00,1,9.28,不要给我推荐不良视频,我要看的视频都没有，有时候看着看着就卡，我真的会谢😭，求求了，不要再给我推荐不良视频了😭
2026-04-26T06:19:28-07:00,1,9.28,靠女性撑起来的平台期，现在背刺女性？,sz这个事情，一再捂嘴，一再封号，禁我言，限我流，br0 help br0是吧？可以，那么多平台我不差你这一个！靠女性支撑起来的平台，现在背刺女性，这有你的，1颗星我都觉得给多了
2026-04-26T06:00:34-07:00,1,9.28,体验很差,总是莫名其妙违规、禁言，还总是申诉失败，拉完了
2026-04-26T05:47:20-07:00,1,9.28,垃圾平台，🦙,无缘无故封号，你看看抖音，快手，平台干部起来是有原因的👎
2026-04-26T05:33:09-07:00,5,9.28,好评,内容很健康
2026-04-26T05:24:08-07:00,1,9.28,垃圾,垃圾桶
2026-04-26T05:20:07-07:00,5,9.27.1,翅的翅煲,挺好的我也不知道写什么
2026-04-26T05:05:41-07:00,1,9.27.1,垃圾有没有一颗星都不给的,垃圾小红书 每天睡醒一堆违规 没钱维护就别老是开算法 垃圾 活该做不起来 活该给人割韭菜 活该！担心什么问题就要去解决什么问题你可以学学人家抖音弄个发布前检测 垃圾垃圾垃圾 每天睡醒就封号 要么你直接封 别当下笔记审核通过 睡醒又直接重复违规 垃圾小红书 活该你没有流量
2026-04-26T04:58:08-07:00,1,9.28,别乱封人号了好吧。,正常的分享东西被说是卖/分享假货 我都没有在小红书挂任何的链接 我哪来的卖假货一说？莫名其妙就把我号封了 申诉了也是秒驳回 看都不看 刚申诉完回头一看申诉失败 人工客服也不知道是干嘛的 和他解释了一堆就给你来一句账号有违规 不让你申诉 用了两三年的小红书账号只能注销重新注册一个 我真搞不懂这个小红书到底要干什么 动不动就封号 是嫌用你的人太多吗？这么多差评 这么多人指出了这个问题 跟瞎了一样 就是不处理
2026-04-26T04:50:22-07:00,5,9.27.1,可以,可以
2026-04-26T04:46:00-07:00,1,9.28,破平台,动不动就封号，早点倒闭吧
2026-04-26T04:28:49-07:00,1,9.28,小红书已跑路,小红书已跑路
2026-04-26T04:22:57-07:00,1,9.28,无缘无故封号,神人软件
2026-04-26T04:18:25-07:00,1,9.28,莫名其妙封号啥意思,我真的服了，我到底干嘛了，莫名其妙就给我封号，啥意思😡我发的作品全部都很正常也不存在违规风险啊🥲人物衣服穿的好好的，没有脏话台词或者低俗行为，本身就是娱乐为主，也只下了一年不到就给我永久封号，还开不了新账号，好不容易养好的号又要重开，想要解锁还得人脸识别，一套流程下来还不一定能回到以前的流量🙄之前发过消息就是说什么账号之间互动太频繁，我都是看到哪个好看点哪个，我咋记得是不是同一个号？
2026-04-26T04:17:23-07:00,1,9.28,小红书你正常点,那些擦bian   情趣你不封 你封那些可爱妹子的账号？？
2026-04-26T03:32:05-07:00,1,9.28,你继续？,有人骚扰我我举报他不封他反而来警告我？嘿嘿
2026-04-26T03:30:46-07:00,1,9.28,乱封号，傲慢的平台,没有逻辑，就直接乱封永封，还不让申诉
2026-04-26T03:25:43-07:00,1,9.28,莫名其妙禁言和封号,尽量规避了还是突然给封号，说笔记有问题又不告诉你具体哪个笔记有什么问题，申诉无门，纯纯有病。
2026-04-26T02:49:44-07:00,1,9.28,垃圾软件,给一颗星都算高了，苹果凭什么不能打零星
2026-04-26T02:49:06-07:00,4,9.28,四星评价,不错，挺喜欢用的 但请不要无故禁言，尽管并没有不文明用语，谢谢
2026-04-26T02:21:15-07:00,1,9.28,母婴博主莫名其妙被封号,说的可难听，说我一个在月子里的产妇发的剖腹产伤口涉及有偿性服务，我不知道为什么心脏的人看什么都是脏的，有点辱女了哈，卸载了，去隔壁的网易小蜜蜂了
2026-04-26T02:18:30-07:00,1,9.28,永久冻结账号，不给申诉,太垃圾了 莫名其妙封禁
2026-04-26T02:06:01-07:00,5,9.28,挺好的,挺好的
2026-04-26T01:54:46-07:00,1,9.27.1,这个软件成分不明 有很多违背社会思想价值观的内容和帖子 建议严查封禁这个软件,如标题所说 希望严查！趁早封禁这个软件
2026-04-26T01:04:02-07:00,1,9.28,6,为啥好久不上线的号突然告诉我被封了
2026-04-26T00:23:53-07:00,1,9.28,小红书就是垃圾中的垃圾,随随便便禁言，一个破app真把自己当官了？平台上擦边带货虚假视频一堆，引战其实的贴子数不胜数，该管的不管，那么屁大点权利全用普通用户身上了。一个app开始对用户进行服从性测试了？看谁乖乖听你们的话？看评论你们乱禁言乱封号不是个例了，你们不会是觉得用户被你们拿捏了吧？一个平台想靠禁言封号拿捏用户，什么心思？又不是只有小红书一个app可用，不要跟大众装逼
2026-04-26T00:07:48-07:00,1,9.28,绑定成姐妹的身份证号了结果不能换绑,"希望能让我把我自己的实名信息换上去
谢谢"
2026-04-25T23:30:43-07:00,1,9.28,垃圾软件,无缘无故给人封号禁言一点玩的欲望都没有
2026-04-25T22:45:28-07:00,1,9.28,能不能不要再乱封号了,就正常使用账号 平时刷刷帖子 私信正常聊天就莫名其妙被封号 你这评分4.9是刷的吧
2026-04-25T22:43:25-07:00,1,9.28,无缘无故禁言,第一次见到这种平台禁言没有依据想禁就禁想封就封
2026-04-25T22:36:28-07:00,1,9.28,别老是推给我,就是因为不喜欢才卸载的，别总是推给我小红书，真心不喜欢不想用
2026-04-25T22:28:23-07:00,5,9.28,永远不会删,卸载什么我都不会卸载小红书的 搜索面很广 旅游攻略画手抄报什么的都可以找它 还有壁纸微信名头像等等 就算是刷视频也很高质 界面很干净看着让人身心舒畅 就是未成年人为啥不能买东西啊 还有一个小请求就是有一些说话很难听的用户能不能有一个自动识别到一些脏字就马上发不出来的功能啊 希望小红书可以和最开始一样纯净🥹🥹🥹
2026-04-25T22:03:11-07:00,1,9.28,小红书三无直播间举报不了,小作坊生产，欺骗老年人，汉方古典熬制？背景脏乱不堪，怎么还可以直播卖？小红书就这么审核的吗？话术我已经用微信语音识别出来了，请看图，
2026-04-25T21:56:41-07:00,1,9.28,垃圾,不愧是央视点名的平台，只能发一些毒鸡汤，自己的店铺发个转让信息就被封号，想发就得开通企业会员，吃相难看，垃圾中的垃圾
2026-04-25T21:43:38-07:00,3,9.28,占容量太大,占容量太大了，清理完缓存都有1.3G
2026-04-25T20:58:41-07:00,1,9.28,避雷,无原因永久封号，申诉秒拒绝，不知道推荐我申诉有什么意义
2026-04-25T20:55:04-07:00,1,9.28,祝你们这辈子电商都做不起来嘻嘻,自己电商手续费贵操作体验又烂流量也差，只知道天天敏感肌莫名其妙封禁账号，人又不是傻的，不会捏着鼻子用只会直接被恶心走。一个从种草发家的平台现在见不得一点真实种草也是很搞笑了
2026-04-25T20:54:14-07:00,1,9.28,Sb,全他妈是骗子 杂种软件 没有人管
2026-04-25T20:33:40-07:00,5,9.28,🉑️,这个小红书太高级了，我给满分💯
2026-04-25T19:11:56-07:00,5,9.28,内容丰富,以前看小红书满屏白富美，现在贴近生活，更真实可信了。
2026-04-25T19:07:29-07:00,4,9.28,书,可以
2026-04-25T19:06:42-07:00,1,9.28,垃圾,宣传的什么价值观
2026-04-25T19:03:13-07:00,5,9.28,喜欢小红书,没想到小红书这么厉害！
2026-04-25T18:57:37-07:00,5,9.28,英语声廊English Club,Daily Reading
2026-04-25T18:57:02-07:00,1,9.28,把我号还我好吗。,"尊敬的小红书审核团队：您好!我要对小红书后台审核机制提出疑问和投诉。作为一名长期支持和活跃在小红书平台的用户，近半年来遭受到了一系列不合理的审核处理，给我带来了极大的困惑和不满，严重打消了我的创作积极性。一直以来，我发布的内容都是积极向上，分享生活且都是原创作品。然而不知什么原因，突然给我的账号限制了流量，并说账号发布较多不适宜推广的内容。然而我并未收到过任何违规提醒。只有我正常评论了一些帖子，后面收到别人的私信辱骂被拉黑多次我都没有反击，有一次我反骂回去，结果也只是说禁言，结果越到后面我正常使用，结果后面被显示违规高风险封号，我很喜欢小红书我就用另一个号码登陆注册换了一个号使用 结果原本的账号就显示设备被封禁登陆
了，我在申诉的时候我也说明了我在这个平台还是需要完成优质创作的，也希望你们给我一个个机会，而且我保证我会改正，但是申诉了4次后还是无果，注销也注销不掉，询问官方以及后台审核都没有给出具体，明确，清晰，合理的解释，这让我不解，甚至一度怀疑后台审核到底是否公平公正。我花费大量的时间精力创造优质内容，分享个人生活，却一味的被屏蔽，被限流，没有任何具体的理由，得不到公平对待，这让我对小红书很失望。无论是自查还是官方平台都给不出任何具体的违规内容，却莫名其妙的限流屏蔽，让我真的很无奈，给不出具体的违规提示，也让我无法针对性的给出调整和修改。后台审核这种不透明不公正的审核方式严重打击了我的创作积极性以及在小红书平台的体验。我希望小红书审核闭队能重新审视审核标准和流程，提高审核的准确性和。
公正性，对于误判的内容和账号给予及时恢复，并给予用户准确清晰的反馈和指导 期待可以得到贵平台的重视和妥善处理，也希望我的账号官方可以给我早日解封，谢谢!
封我小号就封吧！为什么要把我的整个设备都封了！导致我现在无法使用小红书！"
2026-04-25T18:44:59-07:00,5,9.27.1,不能乱写,不能写
2026-04-25T17:47:44-07:00,1,9.28,随便封账号,随便封账号 还要强行人脸识别 简直就是霸权app 够恶心
2026-04-25T17:44:49-07:00,5,9.28,给你五星好评,多给我点流量吧
2026-04-25T17:44:17-07:00,1,9.28,真心希望小红书官方不要再无缘无故封号了,我💥了
2026-04-25T17:35:01-07:00,1,9.28,封永久 玩什么玩,账号封禁申诉也直接退回
2026-04-25T16:33:02-07:00,5,9.27.1,很方便,好实用啊，有啥子不懂的我都做了
2026-04-25T15:36:21-07:00,5,9.28,服装广告,有广告，有产品，有产品质量介绍，同时有购买连接，不能有光介绍产品，没有购买连接，好多产品看到了👀，没有购买链接。
2026-04-25T10:49:16-07:00,5,9.28,小红书～你生活兴趣社区,小红书的内容涵盖内容广，让人不但能享受生活中的乐趣也能收获成长
2026-04-25T10:30:58-07:00,1,9.28,世界上最恶心app,"作为忠实用户 以前笔记都是秒过的 现在不知道抽什么风 一直在审核中
恶心死了"
2026-04-25T10:04:13-07:00,4,9.28,好,软广有点多 但是其他非常好 总有人解答我的疑惑
2026-04-25T09:40:17-07:00,1,9.28,滚,滚
2026-04-25T09:22:48-07:00,1,9.28,女蛆太多了,女蛆太多了
2026-04-25T08:35:49-07:00,1,9.28,无,就是单纯不喜欢这个名字
2026-04-25T07:49:54-07:00,5,9.28,垃圾,垃圾
2026-04-25T07:24:30-07:00,1,9.28,喜欢乱封号,上一个封一个 我压根就没发帖子！私聊就给我封了。三个手机都是上了封永久卸载谁爱用谁用
2026-04-25T07:24:14-07:00,5,9.28,宠物,"非常全、时尚潮流
年轻态"
2026-04-25T07:05:39-07:00,1,9.27.1,付费推广=花钱买寂寞，平台毫无担当！,付费推广纯坑人，扣钱不推流，客服拒绝退款，承诺的效果保障形同虚设，对用户诉求置之不理，体验感极差，强烈不推荐使用！
2026-04-25T06:57:36-07:00,1,9.28,封号,评论那么多都是无故封号的，小红书你确定不要反思一下自己吗？
2026-04-25T06:52:23-07:00,5,9.28,很好用,非常好用
2026-04-25T06:50:20-07:00,1,9.28,无缘无故封账号,我在小红书里就只点赞了几个就直接封账号 客服一直要实名认证 如果一直这样这个软件迟早会没有人用
2026-04-25T06:38:59-07:00,1,9.28,垃圾app,发个盘串的笔记判违规 说画风不佳引人不适 我又没擦边 盘个串说画风不适你是有啥问题啊
2026-04-25T06:22:17-07:00,1,9.28,很差劲,无缘无故封别人的账号。问题出在哪里，也不知道，连人工电话服务都没有的。请问，你们要做什么蜜汁操作呢，我真的会笑死。什么都没做，账号有问题了。
2026-04-25T06:10:21-07:00,5,9.28,挺喜欢小红书的,希望小红书越来越好
2026-04-25T06:08:31-07:00,5,9.27.1,任何标题,不错
2026-04-25T05:46:52-07:00,5,9.28,蓝猫家水晶珠宝💎,千言万语换作一句，我只需要你
2026-04-25T05:42:55-07:00,2,9.28,小红书限流问题,作品就没超过过5个赞，浏览量过不了10，限流有点严重了吧？这很过分好吗，没人看为什么发作品呢？
2026-04-25T05:38:12-07:00,5,9.28,优质平台,丰富的内容是生活和精神上的延展
2026-04-25T05:37:00-07:00,1,9.28,请小红书不要把不正常的说成正常的,请小红书恢复我的账号流量，让我能搜到以前的笔记，新帖也别限流。请小红书客服不要天天就是正常，优化那套糊弄人的东西。体验感极差，几个软件里面小红书的后台是最恶心的。不推荐任何创作者使用这个软件，你将会收获低回报，天天被恶心的要吐。推荐使用抖音或者ins，请不要下载这个恶心人的软件…
2026-04-25T05:32:23-07:00,1,9.28,封号严重,实名的问题，当初实名的时候没有写明一个使命是不是只能一个账号，最开始的规定是不是这样小红书的运营们应该清楚，另外对于内容违规我能够理解，但是可以说清楚边界吗？是否简单的科普也不可以，好累，用了小红书那么久，真的有点寒心
2026-04-25T05:29:04-07:00,1,9.28,设诉,元里蛋气的，T-shirt and I'm not doing anything
2026-04-25T05:13:56-07:00,1,9.28,适配IOS26，更新频繁，纯刷版本号,这IOS26是一点不适配
2026-04-25T05:12:51-07:00,1,9.28,我,在
2026-04-25T05:02:47-07:00,1,9.28,努力创造，但流量差,不得不说官方真不公平，有很多低质、盗视频、用不正当方式引流的人流量都特别好，而我们这些努力创作的人流量特别差，并且薯毛只对新人好，对我们老用户就不管了
2026-04-25T05:02:27-07:00,1,9.28,孤儿设计，整天要通知权限,如题，垃圾东西！所有权限都给你关了！
2026-04-25T05:00:23-07:00,5,9.28,很不错,继续加油
2026-04-25T04:58:36-07:00,1,9.28,垃圾软件,一星都不想给，动不动封号违规，啥也没干就判定异常，等账号注销就会卸载，
2026-04-25T04:52:50-07:00,1,9.28,无缘无故封号,无缘无故封号
2026-04-25T04:44:15-07:00,5,9.28,红薯,我喜欢小红书
2026-04-25T04:27:41-07:00,3,9.28,请不要无缘无故封禁普通人的账号,我被封禁账号已有两天之久，期间也进行安全检测过，但毫无结果，我真的要质疑一下官方你的封禁制度是否合理，我只是一个普通人！我可以发毒誓，我换手机到把小红书下回来已有两年，在此期间那个账号一直在我手，我一没有说过任何敏感言论，二没有任何违反法律行为，在一个夜晚我正回评论回的好好的，毫无预兆、突然间弹出账号封禁信息，我懵了，真的，我真的希望你们能不能完善一下封禁管理，普通人突然间收到这样的信息只觉得是天降大锅
2026-04-25T04:22:05-07:00,1,9.28,有病一样的小红书,天天违规你爹蛋的
2026-04-25T04:14:40-07:00,1,9.28,小红书最不在乎用户的平台,发什么都莫名其妙判你违规
2026-04-25T04:06:28-07:00,3,9.28,功能增设建议,小红书能不能增加一个离线模式？每次上线之后，都会有一大堆人卡着点过来推销自己的作品，让我给他们的收藏里的作品点赞。如果关闭状态就看不见自己好友在不在线，聊天也不方便，就不能增设一个离线模式吗？这是我用的最不舒服的一点，希望改进。
2026-04-25T04:04:47-07:00,3,9.28,iPad看贴或者视频没有退出键,非常不方便，iPad版看帖子经常都没有退出键，我只能退出整个App重进
2026-04-25T03:47:25-07:00,1,9.28,名字起的好,小红书，就是又小又红又输
2026-04-25T03:44:24-07:00,1,9.28,乱封号连设备都封了?,明明什么都没干某天一上线就给我封了一直申述还不让通过，垃圾软件干脆别干了乐子
2026-04-25T03:28:30-07:00,5,9.28,嗯,嗯
2026-04-25T03:28:04-07:00,1,9.28,审核太烂了,我发的笔记没有任何打广告营销也没有盗图更没有相似文案内容，突然给我判违规然后历史笔记全部隐藏了解封后也不对外展示，申诉感觉就不是人在审，刚提交申诉马上就给我打回来了，都没看完我写的内容吧，差评，真正在打广告营销的怎么不去管
2026-04-25T03:08:43-07:00,5,9.28,小🍠,感谢小红书的流量和推荐！我爱小红书💗💗💗 —起床困难户
2026-04-25T03:00:02-07:00,5,9.28,非常好,宝藏软件 值得应用 各种知识科普视频 我先爱了 推荐的视频都很满意 绿色健康软件 都是热爱生活慢节奏的视频 我真的很喜欢 推荐大家下载
2026-04-25T02:41:22-07:00,5,9.28,小红书,小红书3亿人的生活兴趣爱好聚集地，上小红书免费精彩不断。
2026-04-25T02:23:00-07:00,1,9.28,.,为什么实名认证改不了？
2026-04-25T01:58:56-07:00,1,9.28,小红书管理烂到不行。,老是莫名其妙给人封号，不知道管的这么严格有什么意义，申诉也要隔好久才能重新申诉，有人愿意玩小红书才怪了。
2026-04-25T01:43:19-07:00,1,9.28,什么信息都删，敏感得跟🐔8️⃣一样,"作为信息传递平台，发个一卷民谣的贴都被夹，这么爱被夹我不会去大眼仔那？
——笑死，又来打差评发现上次也发了类似的事情。这次是因为深圳不禁烟🚭"
2026-04-25T01:20:10-07:00,1,9.28,真的反思一下吧,无缘无故封号 没有存在任何违规行为也这样 别太恶心了
2026-04-25T01:14:45-07:00,3,9.28,……,管一管雪月阁和天神宗吧
2026-04-25T01:06:41-07:00,5,9.28,嗯对,很好
2026-04-25T01:03:13-07:00,5,9.28,非常very good,小红书真的非常好用
2026-04-25T00:44:57-07:00,5,9.28,黑王,非常好👍👍👍
2026-04-25T00:26:24-07:00,1,9.28,真没话说小红书在这样无缘无故封号真就没啥人用了,刚创建的账号寻思找个附近的兼职群然后就直接给我封了说我高风险我就想知道这哪里高风险操作了？？？
2026-04-24T23:42:07-07:00,2,9.27.1,被骗子骗钱举报无果,没有对骗子进行任何处罚钱也没有追回
2026-04-24T23:38:10-07:00,1,9.27.1,购物体验很差 其他还行,不推荐不推荐
2026-04-24T23:36:10-07:00,2,9.28,太敏感,做什么都违规
2026-04-24T23:28:58-07:00,1,9.28,无辜封号 感觉自己这平台高贵了呗,无缘无故封号，我的ID号只是我自己的名字之母缩写加上生日，结果它说我ID号违规，我真没招了。你很高贵小红书，我们高攀不起
2026-04-24T23:06:48-07:00,1,9.28,全是乐子女生😂,一堆逆天小仙女😂
2026-04-24T22:49:44-07:00,1,9.28,差劲小红书,长期使用小红书并购物许多，突然给我禁止购物，不让买东西，客服解决不了问题，只会踢皮球！小红书这种谜一样的操作让人心寒！！超级可笑！！
2026-04-24T22:47:53-07:00,1,9.28,不要乱封号,莫名奇妙被封号！
2026-04-24T22:03:49-07:00,2,9.28,女权姐太多了,无缘无故的女拳到处都是
2026-04-24T22:02:55-07:00,1,9.28,无故封号,能不能乱封号了 我啥都没干啥都没发就给我封了
2026-04-24T21:16:42-07:00,1,9.28,戾气很重,打开小红书里面各种骂战 饭圈打架 网暴素人  投诉也无人处理 刷了几天戾气都变重了……
2026-04-24T21:03:19-07:00,1,9.28,最差的购物网站,包庇纵容没有资质的黑心商家，没有营业执照，地址都是虚假信息。纵容擦边黄腔主播开播，毁三观的言论却极力保护，要求友好对待。小红书三观不正，唯利是图，只要能给平台带来利益的就袒护包庇，没有社会责任感，更是把消费者的利益置于脑后。没有消费者就没有你们平台，小红书失民心，不会有未来
2026-04-24T20:35:10-07:00,3,9.28,没有热度！！！,没有热度！！！
2026-04-24T19:52:10-07:00,5,9.28,我喜欢小红书的女性她们很强大,希望能打破信息茧房让Bro看到女性的愤怒
